,url,title,published,content,tag
0,https://plana.earth/academy/how-sustainable-is-your-office-christmas-party/,How sustainable is your office Christmas party?,2020-12-18,"Christmas is just around the corner! Unfortunately, this year many of us won’t be able to celebrate the office Christmas party how we’d like to. To wrap up 2020, the Plan A team is helping you plan the imaginary party of your dreams.",p
1,https://plana.earth/academy/how-sustainable-is-your-office-christmas-party/,How sustainable is your office Christmas party?,2020-12-18,"Before we start, here are a few statistics on the carbon footprint caused by end of the year parties. Partying is fun, but let’s remember not to give Mother Nature a hangover. ",p
2,https://plana.earth/academy/how-sustainable-is-your-office-christmas-party/,How sustainable is your office Christmas party?,2020-12-18,It is time for the office Christmas Party Quiz!,h2
3,https://plana.earth/academy/how-sustainable-is-your-office-christmas-party/,How sustainable is your office Christmas party?,2020-12-18,Find out how sustainable your Christmas Party would have been. ,p
4,https://plana.earth/academy/how-sustainable-is-your-office-christmas-party/,How sustainable is your office Christmas party?,2020-12-18,May the Merry Force be with you! ,h2
5,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"It is the fifth anniversary of the Paris Climate Agreement. At the same time, the global average temperature has risen around 1-degree celsius. It is time to speed up on climate action, especially for the United States. ",p
6,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"The US President-Elect Joe Biden vows to rejoin the Paris Agreement on his first day of office on 20 January 2021. With the US back on track, all 197 signatories to the United Nations Framework Convention on Climate Change will have ratified the historic treaty.",p
7,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"This follows the United States’ withdrawal from the Paris Climate Agreement on November 4th, 2020. The decision made it the first country in history to leave the Climate Agreement. It all started in 2017, when former U.S. President Donald Trump decided to “cease all implementation of the non-binding Paris Accord and the draconian financial and economic burdens the agreement imposes.” However, the process took three years, because no country could give the notice to leave the Paris agreement until three years had passed after ratification.",p
8,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"Today, the Trump Administration officially left the Paris Climate Agreement. And in exactly 77 days, a Biden Administration will rejoin it. https://t.co/L8UJimS6v2— Joe Biden (@JoeBiden) November 5, 2020",p
9,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"Today, the Trump Administration officially left the Paris Climate Agreement. And in exactly 77 days, a Biden Administration will rejoin it. https://t.co/L8UJimS6v2",p
10,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,What is the Paris Agreement?,h2
11,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"The Paris Agreement is a legally binding treaty on climate change. It was adopted in Paris – hence the title – on December 12th, 2015. It came into force on 4th November 2016. The goal of the treaty is to limit global warming below 2°C to 1.5°C; compared to pre-industrial levels. It aims to prevent climate change’s worst effects. The Paris Agreement is a landmark in the multilateral climate change process, as it brings all of the world’s nations into one common cause – fighting climate change.",p
12,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"Countries are aiming to cut their greenhouse gas emissions (GHG) rapidly, to reach carbon-neutrality by 2030. To reach this goal, each signatory is required to submit national plans, known as nationally determined contributions (NDCs), every five years to limit emissions. They must also regularly report on their climate actions and whether they are on track to meet their NDCs. Members of the treaty would set those targets voluntarily, as it is not legally binding.",p
13,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"With only ten years remaining on the Paris goal, and the environmental impact of 2020, governments have to implement their climate targets rapidly. As Trump exited the US from the Paris Climate Agreement, Biden will have a hard time to put the country back on track- the U.S. is the world’s second-largest emitter, accounting for 25% of global GHG emissions. ",p
14,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,Here is an explanatory video on “The Paris Agreement for Climate Change” from WWF. Have a look!,p
15,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,Joe Biden on the road to pave a more sustainable America,h2
